"exito","area","tam_cat","orientacion","soporte_grp","sop_montaje","tecnica","tipo_autor","serie","fecha_est","fecha_ancho","tema"
"0",2064,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1517,32,"religioso"
"0",5544,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1517,32,"religioso"
"0",23630,"grande","vertical","Tabla/Panel","0","oleo","hombre","1",1518,34,"religioso"
"0",23630,"grande","vertical","Tabla/Panel","0","oleo","hombre","1",1518,34,"paisaje_lugares"
"0",23769,"grande","vertical","Tabla/Panel","0","oleo","hombre","1",1518,34,"religioso"
"0",35200,"grande","vertical","Tabla/Panel","0","oleo","hombre","0",1526,49,"religioso"
"0",1824,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1526,49,"mitologia"
"1",1050,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1526,49,"religioso"
"0",202.95,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1526,49,"religioso"
"0",1530,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1526,49,"religioso"
"0",5651.5,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1526,49,"religioso"
"0",13300,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1526,49,"religioso"
"0",2180,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1526,49,"religioso"
"0",13000,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1526,49,"religioso"
"0",3808,"pequeno","vertical","Lienzo","0","oleo","anonimo","0",1550,99,"otros"
"0",1950,"pequeno","vertical","Lienzo","0","oleo","anonimo","0",1550,99,"retrato_corte"
"0",10647,"mediano","vertical","Lienzo","0","oleo","anonimo","0",1550,99,"otros"
"0",9727,"mediano","vertical","Lienzo","0","oleo","hombre","0",1550,99,"religioso"
"0",1800,"pequeno","vertical","Lienzo","0","oleo","anonimo","0",1550,99,"religioso"
"0",1750,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1550,99,"religioso"
"0",6086,"mediano","vertical","Lienzo","0","oleo","anonimo","0",1550,99,"vida_cotidiana"
"0",1400,"pequeno","vertical","Lienzo","0","oleo","hombre","0",1550,99,"religioso"
"0",3200,"pequeno","vertical","Lienzo","0","oleo","hombre","0",1550,99,"religioso"
"0",15960,"mediano","horizontal","Tabla/Panel","0","oleo","hombre","0",1550,99,"religioso"
